,country,wdi_code,region_short,income_short,region,income,f_3,f_3_1,f_3_2,f_3_3,f_3_4,f_3_global,f_3_1_global,f_3_2_global,f_3_3_global,f_3_4_global,f_3_regional,f_3_1_regional,f_3_2_regional,f_3_3_regional,f_3_4_regional,f_3_income,f_3_1_income,f_3_2_income,f_3_3_income,f_3_4_income,q15c_dum,q15a_dum,q24a_dum,q24b_dum,q24c_dum,q24d_dum,q24e_dum,q21_dum,q20_dum,q20a_1_dum,q20a_2_dum,q20a_3_dum,q20a_4_dum,q20a_5_dum,q20a_6_dum,q20j1_dum,q20j2_dum,q20j3_dum,q20j4_dum,q20c_dum,q20e1_dum,q20e2_dum,q20e3_dum,q20e4_dum,q20e5_dum,q20f1_dum,q20f2_dum,q20i_dum,-,q20h_dum,q38g_dum,q38h_dum,q34a_dum,q15b_dum,q15d_dum,q15e_dum,q34d_dum,q34c_dum,q34f_dum,q34g_dum,q38c_dum,q38f_dum,,q15c_dum_maleC,q15c_dum_femaleC,q15a_dum_maleC,q15a_dum_femaleC,q24a_dum_maleC,q24a_dum_femaleC,q24b_dum_maleC,q24b_dum_femaleC,q24c_dum_maleC,q24c_dum_femaleC,q24d_dum_maleC,q24d_dum_femaleC,q24e_dum_maleC,q24e_dum_femaleC,q21_dum_maleC,q21_dum_femaleC,q20_dum_maleC,q20_dum_femaleC,q20a_1_dum_maleC,q20a_1_dum_femaleC,q20a_2_dum_maleC,q20a_2_dum_femaleC,q20a_3_dum_maleC,q20a_3_dum_femaleC,q20a_4_dum_maleC,q20a_4_dum_femaleC,q20a_5_dum_maleC,q20a_5_dum_femaleC,q20a_6_dum_maleC,q20a_6_dum_femaleC,q20j1_dum_maleC,q20j1_dum_femaleC,q20j2_dum_maleC,q20j2_dum_femaleC,q20j3_dum_maleC,q20j3_dum_femaleC,q20j4_dum_maleC,q20j4_dum_femaleC,q20c_dum_maleC,q20c_dum_femaleC,q20e1_dum_maleC,q20e1_dum_femaleC,q20e2_dum_maleC,q20e2_dum_femaleC,q20e3_dum_maleC,q20e3_dum_femaleC,q20e4_dum_maleC,q20e4_dum_femaleC,q20e5_dum_maleC,q20e5_dum_femaleC,q20f1_dum_maleC,q20f1_dum_femaleC,q20f2_dum_maleC,q20f2_dum_femaleC,q20i_dum_maleC,q20i_dum_femaleC,,,q20h_dum_maleC,q20h_dum_femaleC,q38g_dum_maleC,q38g_dum_femaleC,q38h_dum_maleC,q38h_dum_femaleC,q34a_dum_maleC,q34a_dum_femaleC,q15b_dum_maleC,q15b_dum_femaleC,q15d_dum_maleC,q15d_dum_femaleC,q15e_dum_maleC,q15e_dum_femaleC,q34d_dum_maleC,q34d_dum_femaleC,q34c_dum_maleC,q34c_dum_femaleC,q34f_dum_maleC,q34f_dum_femaleC,q34g_dum_maleC,q34g_dum_femaleC,q38c_dum_maleC,q38c_dum_femaleC,q38f_dum_maleC,q38f_dum_femaleC,,q15c_dum_poorC,q15c_dum_richC,q15a_dum_poorC,q15a_dum_richC,q24a_dum_poorC,q24a_dum_richC,q24b_dum_poorC,q24b_dum_richC,q24c_dum_poorC,q24c_dum_richC,q24d_dum_poorC,q24d_dum_richC,q24e_dum_poorC,q24e_dum_richC,q21_dum_poorC,q21_dum_richC,q20_dum_poorC,q20_dum_richC,q20a_1_dum_poorC,q20a_1_dum_richC,q20a_2_dum_poorC,q20a_2_dum_richC,q20a_3_dum_poorC,q20a_3_dum_richC,q20a_4_dum_poorC,q20a_4_dum_richC,q20a_5_dum_poorC,q20a_5_dum_richC,q20a_6_dum_poorC,q20a_6_dum_richC,q20j1_dum_poorC,q20j1_dum_richC,q20j2_dum_poorC,q20j2_dum_richC,q20j3_dum_poorC,q20j3_dum_richC,q20j4_dum_poorC,q20j4_dum_richC,q20c_dum_poorC,q20c_dum_richC,q20e1_dum_poorC,q20e1_dum_richC,q20e2_dum_poorC,q20e2_dum_richC,q20e3_dum_poorC,q20e3_dum_richC,q20e4_dum_poorC,q20e4_dum_richC,q20e5_dum_poorC,q20e5_dum_richC,q20f1_dum_poorC,q20f1_dum_richC,q20f2_dum_poorC,q20f2_dum_richC,q20i_dum_poorC,q20i_dum_richC,,,q20h_dum_poorC,q20h_dum_richC,q38g_dum_poorC,q38g_dum_richC,q38h_dum_poorC,q38h_dum_richC,q34a_dum_poorC,q34a_dum_richC,q15b_dum_poorC,q15b_dum_richC,q15d_dum_poorC,q15d_dum_richC,q15e_dum_poorC,q15e_dum_richC,q34d_dum_poorC,q34d_dum_richC,q34c_dum_poorC,q34c_dum_richC,q34f_dum_poorC,q34f_dum_richC,q34g_dum_poorC,q34g_dum_richC,q38c_dum_poorC,q38c_dum_richC,q38f_dum_poorC,q38f_dum_richC,
29,Croatia,HRV,EURNA,H,EU + EFTA + North America,High ,0.58,0.48,0.63,0.63,0.57,33,44,26,44,49,20,20,17,21,22,28,28,23,26,29,,,,0.53,,0.54,0.50,0.43,0.04,0.29,0.17,0.15,0.05,0.34,0.00,0.39,0.48,0.12,0.01,0.98,0.95,0.00,0.05,0.00,0.00,0.95,0.05,0.98,,0.00,0.60,0.76,0.85,0.26,0.26,,0.87,0.68,0.49,0.73,0.45,0.72,,,,,,,,0.55,0.52,,,0.55,0.53,0.52,0.48,0.42,0.45,0.04,0.05,0.17,0.39,0.22,0.13,0.17,0.13,0.06,0.04,0.39,0.30,0.00,0.00,0.40,0.39,0.47,0.49,0.13,0.11,0.01,0.01,1.00,0.96,0.89,1.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.89,1.00,0.11,0.00,0.94,1.00,,,0.00,0.00,0.62,0.57,0.77,0.75,0.87,0.84,0.27,0.24,0.26,0.25,,,0.87,0.87,0.67,0.70,0.52,0.47,0.75,0.71,0.40,0.49,0.72,0.72,,,,,,,,0.54,0.53,,,0.53,0.55,0.52,0.48,0.45,0.41,0.05,0.03,0.22,0.43,0.11,0.29,0.22,0.00,0.04,0.07,0.41,0.21,0.00,0.00,0.41,0.38,0.48,0.47,0.11,0.13,0.00,0.01,1.00,0.93,0.96,0.93,0.00,0.00,0.04,0.07,0.00,0.00,0.00,0.00,0.96,0.93,0.04,0.07,0.96,1.00,,,0.00,0.00,0.58,0.61,0.77,0.75,0.85,0.85,0.25,0.26,0.24,0.28,,,0.87,0.87,0.69,0.67,0.51,0.47,0.72,0.75,0.45,0.44,0.72,0.72,
30,Czech Republic,CZE,EURNA,H,EU + EFTA + North America,High ,0.64,0.47,0.70,0.75,0.66,22,46,18,20,25,15,21,13,15,16,21,29,17,19,23,0.32,0.45,0.58,0.61,0.62,0.42,0.58,0.73,0.14,0.39,0.17,0.06,0.09,0.12,0.17,0.88,0.03,0.04,0.05,0.74,0.41,0.34,0.22,0.03,0.00,0.64,0.36,0.58,,0.01,0.77,0.92,0.94,0.31,0.36,0.28,0.96,0.87,0.68,0.77,0.61,0.94,,0.30,0.35,0.42,0.47,0.59,0.57,0.60,0.62,0.63,0.62,0.44,0.41,0.59,0.57,0.80,0.64,0.15,0.12,0.35,0.44,0.17,0.17,0.06,0.06,0.12,0.06,0.10,0.15,0.20,0.12,0.87,0.89,0.03,0.03,0.05,0.03,0.05,0.05,0.73,0.76,0.41,0.41,0.35,0.32,0.22,0.22,0.02,0.05,0.00,0.00,0.75,0.51,0.25,0.49,0.60,0.55,,,0.02,0.00,0.81,0.72,0.94,0.90,0.95,0.94,0.28,0.35,0.36,0.35,0.28,0.27,0.96,0.95,0.88,0.85,0.72,0.63,0.81,0.74,0.66,0.54,0.95,0.93,,0.33,0.32,0.49,0.40,0.56,0.61,0.56,0.64,0.57,0.67,0.37,0.48,0.55,0.62,0.71,0.74,0.12,0.14,0.40,0.39,0.19,0.15,0.02,0.08,0.15,0.07,0.13,0.13,0.13,0.18,0.88,0.88,0.03,0.03,0.04,0.04,0.05,0.05,0.65,0.80,0.36,0.48,0.30,0.33,0.24,0.19,0.09,0.00,0.00,0.00,0.48,0.75,0.52,0.25,0.46,0.68,,,0.03,0.00,0.75,0.77,0.92,0.92,0.94,0.94,0.33,0.32,0.33,0.37,0.26,0.30,0.96,0.95,0.86,0.87,0.63,0.72,0.74,0.81,0.55,0.66,0.94,0.94,
31,Denmark,DNK,EURNA,H,EU + EFTA + North America,High ,0.78,0.68,0.72,0.89,0.84,4,8,9,2,2,3,4,6,2,2,4,8,9,2,2,0.46,0.65,0.75,0.70,0.63,0.72,0.72,0.53,0.17,0.51,0.08,0.09,0.17,0.08,0.07,0.91,0.05,0.02,0.02,0.64,0.25,0.31,0.26,0.05,0.13,0.48,0.52,0.60,,0.06,0.92,0.92,0.97,0.59,0.52,0.52,0.94,0.93,0.89,0.89,0.88,0.94,,0.51,0.41,0.69,0.61,0.77,0.74,0.72,0.68,0.65,0.62,0.73,0.70,0.75,0.67,0.56,0.49,0.21,0.12,0.52,0.49,0.07,0.09,0.10,0.07,0.15,0.21,0.11,0.03,0.05,0.10,0.90,0.92,0.05,0.05,0.02,0.02,0.03,0.01,0.68,0.58,0.27,0.20,0.30,0.33,0.26,0.25,0.04,0.07,0.12,0.15,0.48,0.49,0.52,0.51,0.61,0.60,,,0.06,0.07,0.91,0.93,0.93,0.90,0.97,0.97,0.64,0.53,0.59,0.46,0.58,0.45,0.93,0.96,0.93,0.93,0.91,0.87,0.91,0.87,0.90,0.87,0.93,0.95,,0.42,0.52,0.62,0.71,0.73,0.80,0.66,0.77,0.63,0.68,0.70,0.79,0.70,0.79,0.51,0.56,0.18,0.13,0.61,0.45,0.08,0.09,0.06,0.07,0.04,0.27,0.10,0.07,0.10,0.05,0.87,0.94,0.08,0.03,0.03,0.01,0.03,0.02,0.65,0.72,0.23,0.27,0.32,0.33,0.25,0.27,0.06,0.04,0.14,0.09,0.48,0.58,0.52,0.42,0.57,0.69,,,0.10,0.02,0.88,0.96,0.90,0.95,0.96,0.99,0.55,0.63,0.48,0.59,0.48,0.58,0.93,0.97,0.92,0.95,0.87,0.92,0.88,0.92,0.87,0.92,0.93,0.97,
32,Dominican Republic,DOM,LAC,UM,Latin America & Caribbean,Upper middle ,0.52,0.40,0.57,0.62,0.51,53,77,42,48,64,11,13,6,9,16,15,26,8,12,20,0.46,0.45,,,,0.18,0.15,0.30,0.14,0.41,0.14,0.05,0.17,0.22,0.02,,,,,0.79,0.75,0.16,0.07,0.02,0.00,,,0.81,,,0.87,0.87,0.90,0.49,0.49,0.46,0.91,0.83,0.79,0.83,0.80,0.92,,0.43,0.50,0.43,0.47,0.11,0.18,0.16,0.19,0.18,0.15,0.20,0.17,0.15,0.15,0.33,0.27,0.13,0.15,0.41,0.41,0.17,0.11,0.03,0.07,0.13,0.20,0.25,0.19,0.02,0.03,,,,,,,,,0.81,0.78,0.76,0.75,0.20,0.13,0.04,0.09,0.00,0.04,0.00,0.00,,,,,0.86,0.77,,,,,0.88,0.86,0.87,0.87,0.92,0.88,0.45,0.53,0.46,0.53,0.42,0.50,0.92,0.89,0.84,0.82,0.82,0.77,0.83,0.82,0.80,0.80,0.93,0.90,,0.51,0.36,0.48,0.38,0.11,0.14,0.18,0.14,0.16,0.16,0.15,0.23,0.11,0.20,0.26,0.37,0.12,0.19,0.36,0.40,0.15,0.15,0.05,0.06,0.19,0.15,0.23,0.21,0.01,0.02,,,,,,,,,0.78,0.83,0.70,0.82,0.20,0.11,0.09,0.05,0.02,0.02,0.00,0.00,,,,,0.82,0.77,,,,,0.87,0.86,0.88,0.83,0.89,0.92,0.53,0.40,0.53,0.42,0.51,0.36,0.89,0.93,0.82,0.86,0.79,0.79,0.82,0.82,0.79,0.78,0.91,0.93,
33,Ecuador,ECU,LAC,UM,Latin America & Caribbean,Upper middle ,0.51,0.47,0.54,0.46,0.56,63,50,52,85,50,14,6,11,18,12,21,12,14,23,13,0.54,0.45,,,,0.71,0.76,0.23,0.13,0.57,0.13,0.03,0.15,0.12,0.00,,,,,0.75,0.35,0.47,0.16,0.02,0.00,0.83,0.17,0.68,,0.02,0.76,0.80,0.82,0.44,0.55,0.52,0.77,0.63,0.60,0.63,0.60,0.81,,0.52,0.56,0.44,0.46,,,0.76,0.79,0.72,0.78,0.71,0.72,0.74,0.79,0.26,0.20,0.14,0.13,0.64,0.49,0.14,0.13,0.02,0.05,0.12,0.17,0.09,0.16,0.00,0.00,,,,,,,,,0.79,0.71,0.40,0.28,0.50,0.43,0.10,0.24,0.00,0.04,0.00,0.00,0.88,0.76,0.12,0.24,0.69,0.67,,,0.02,0.02,0.75,0.77,0.80,0.80,0.80,0.83,0.43,0.45,0.53,0.56,0.51,0.52,0.77,0.78,0.62,0.65,0.58,0.61,0.62,0.64,0.59,0.61,0.80,0.82,,0.55,0.54,0.47,0.45,,,0.78,0.81,0.75,0.91,0.72,0.88,0.77,0.84,0.23,0.14,0.14,0.03,0.55,1.00,0.14,0.00,0.03,0.00,0.15,0.00,0.13,0.00,0.00,0.00,,,,,,,,,0.76,1.00,0.33,1.00,0.49,0.00,0.16,0.00,0.02,0.00,0.00,0.00,0.85,0.00,0.15,1.00,0.70,1.00,,,0.02,0.00,0.77,0.85,0.80,0.91,0.83,0.83,0.47,0.44,0.53,0.56,0.49,0.53,0.77,0.88,0.63,0.74,0.58,0.68,0.62,0.65,0.60,0.83,0.82,0.82,
34,Egypt,EGY,MENA,LM,Middle East & North Africa,Lower middle ,0.42,0.43,0.41,0.52,0.34,91,65,89,77,97,6,5,6,3,6,22,11,20,18,24,,,,,,0.71,,0.45,0.07,0.32,0.27,0.14,0.00,0.27,0.00,0.82,0.05,0.07,0.06,0.82,0.67,0.17,0.17,0.00,0.00,0.78,0.22,0.76,,0.22,0.77,0.75,0.81,,0.63,0.59,0.80,0.79,0.78,0.77,0.75,0.75,,,,,,0.77,0.78,0.72,0.80,,,0.69,0.76,,,0.46,0.42,0.09,0.04,0.28,0.50,0.28,0.25,0.17,0.00,0.00,0.00,0.28,0.25,0.00,0.00,0.81,0.83,0.06,0.03,0.07,0.08,0.07,0.06,0.83,0.75,0.73,0.33,0.07,0.67,0.20,0.00,0.00,0.00,0.00,0.00,0.80,0.67,0.20,0.33,0.82,0.50,,,0.27,0.00,0.79,0.75,0.76,0.74,0.81,0.81,,,0.62,0.64,0.58,0.60,0.81,0.80,0.79,0.80,0.77,0.79,0.77,0.76,0.75,0.75,0.76,0.73,,,,,,0.76,0.81,0.73,0.77,,,0.66,0.80,,,0.40,0.50,0.06,0.08,0.55,0.13,0.09,0.50,0.18,0.13,0.00,0.00,0.18,0.25,0.00,0.00,0.79,0.86,0.05,0.03,0.08,0.07,0.08,0.03,0.73,0.88,0.75,0.57,0.13,0.14,0.13,0.29,0.00,0.00,0.00,0.00,0.88,0.71,0.13,0.29,0.70,0.88,,,0.13,0.29,0.73,0.87,0.72,0.82,0.79,0.86,,,0.64,0.72,0.60,0.68,0.78,0.84,0.78,0.84,0.75,0.81,0.74,0.82,0.72,0.80,0.71,0.81,
35,El Salvador,SLV,LAC,LM,Latin America & Caribbean,Lower middle ,0.51,0.34,0.55,0.57,0.58,58,92,48,65,42,13,18,9,13,9,10,20,7,12,3,0.45,0.49,0.41,0.36,0.33,0.49,0.30,0.26,0.10,0.60,0.11,0.04,0.11,0.12,0.02,0.75,0.15,0.04,0.06,0.51,0.49,0.40,0.09,0.02,0.00,0.75,0.25,0.84,,0.02,0.69,0.69,0.73,0.46,0.45,0.42,0.76,0.69,0.67,0.70,0.68,0.74,,0.44,0.45,0.46,0.52,0.42,0.38,0.38,0.33,0.35,0.29,0.52,0.43,0.31,0.29,0.30,0.21,0.11,0.10,0.63,0.57,0.10,0.11,0.04,0.05,0.10,0.11,0.12,0.11,0.00,0.05,0.76,0.74,0.14,0.15,0.05,0.04,0.05,0.07,0.59,0.41,0.54,0.41,0.36,0.47,0.11,0.06,0.00,0.06,0.00,0.00,0.72,0.79,0.28,0.21,0.83,0.84,,,0.00,0.05,0.69,0.70,0.71,0.66,0.75,0.71,0.45,0.47,0.43,0.46,0.42,0.42,0.77,0.75,0.70,0.68,0.68,0.65,0.73,0.67,0.70,0.67,0.74,0.75,,0.45,0.44,0.52,0.45,0.47,0.32,0.37,0.32,0.37,0.24,0.39,0.57,0.34,0.28,0.21,0.42,0.09,0.15,0.61,0.58,0.09,0.13,0.05,0.03,0.13,0.10,0.11,0.13,0.02,0.03,0.73,0.84,0.16,0.09,0.05,0.03,0.06,0.04,0.44,0.56,0.50,0.50,0.38,0.39,0.13,0.06,0.00,0.06,0.00,0.00,0.84,0.67,0.16,0.33,0.88,0.72,,,0.00,0.06,0.70,0.72,0.70,0.70,0.75,0.69,0.49,0.42,0.45,0.47,0.43,0.42,0.78,0.75,0.70,0.72,0.68,0.69,0.70,0.73,0.69,0.73,0.75,0.76,
36,Estonia,EST,EURNA,H,EU + EFTA + North America,High ,0.72,0.62,0.77,0.75,0.76,14,16,4,18,13,10,10,3,14,9,14,16,4,17,12,0.33,0.32,0.82,0.74,0.74,0.76,0.77,0.64,0.14,0.38,0.12,0.06,0.10,0.10,0.24,0.92,0.03,0.04,0.01,0.71,0.43,0.45,0.09,0.01,0.01,0.57,0.43,0.50,,0.01,0.81,0.87,0.89,0.23,0.32,0.33,0.92,0.76,0.67,0.71,0.74,0.94,,0.34,0.31,0.35,0.29,0.82,0.82,0.73,0.74,0.73,0.75,0.76,0.75,0.76,0.77,0.69,0.58,0.14,0.13,0.44,0.31,0.11,0.13,0.07,0.06,0.11,0.09,0.09,0.11,0.18,0.30,0.92,0.91,0.03,0.04,0.05,0.03,0.01,0.01,0.75,0.66,0.48,0.37,0.43,0.49,0.07,0.11,0.00,0.03,0.02,0.00,0.65,0.47,0.35,0.53,0.57,0.44,,,0.02,0.00,0.79,0.84,0.86,0.89,0.88,0.90,0.25,0.20,0.34,0.29,0.38,0.28,0.91,0.92,0.74,0.77,0.69,0.64,0.73,0.69,0.77,0.71,0.93,0.95,,0.31,0.34,0.33,0.31,0.79,0.88,0.73,0.77,0.71,0.78,0.72,0.80,0.77,0.79,0.56,0.74,0.15,0.13,0.41,0.34,0.13,0.09,0.06,0.06,0.11,0.06,0.13,0.06,0.16,0.38,0.89,0.95,0.05,0.01,0.05,0.04,0.01,0.00,0.75,0.68,0.43,0.42,0.46,0.42,0.09,0.13,0.02,0.00,0.00,0.04,0.61,0.48,0.39,0.52,0.60,0.39,,,0.02,0.00,0.76,0.89,0.87,0.90,0.86,0.94,0.23,0.21,0.32,0.30,0.33,0.32,0.91,0.93,0.70,0.86,0.61,0.77,0.66,0.80,0.69,0.83,0.93,0.96,
37,Ethiopia,ETH,AFR,L,Sub-Saharan Africa,Low,0.39,0.41,0.45,0.30,0.40,94,73,79,97,89,15,5,7,17,15,11,4,5,13,11,0.50,0.53,0.69,0.75,0.70,0.53,0.67,0.40,0.14,0.31,0.29,0.18,0.06,0.15,0.01,0.60,0.25,0.11,0.05,0.54,0.48,0.30,0.14,0.02,0.07,0.56,0.44,0.48,,0.13,0.36,0.43,0.60,0.43,0.49,0.43,0.60,0.44,0.35,0.44,0.34,0.39,,0.46,0.54,0.51,0.55,0.65,0.72,0.71,0.78,0.67,0.73,0.50,0.56,0.65,0.69,0.41,0.38,0.15,0.13,0.30,0.32,0.35,0.22,0.16,0.19,0.09,0.03,0.07,0.24,0.02,0.00,0.56,0.63,0.26,0.23,0.14,0.08,0.04,0.06,0.62,0.43,0.46,0.50,0.29,0.31,0.21,0.00,0.04,0.00,0.00,0.19,0.50,0.65,0.50,0.35,0.38,0.59,,,0.10,0.19,0.35,0.37,0.41,0.45,0.56,0.63,0.41,0.44,0.45,0.53,0.41,0.45,0.56,0.63,0.42,0.46,0.31,0.39,0.41,0.46,0.32,0.36,0.37,0.42,,0.47,0.51,0.54,0.48,0.73,0.59,0.79,0.67,0.72,0.64,0.55,0.46,0.71,0.58,0.39,0.43,0.11,0.20,0.34,0.26,0.29,0.29,0.23,0.14,0.00,0.12,0.14,0.17,0.00,0.02,0.60,0.63,0.23,0.23,0.11,0.10,0.05,0.04,0.39,0.68,0.53,0.44,0.27,0.33,0.07,0.19,0.00,0.00,0.13,0.04,0.50,0.59,0.50,0.41,0.35,0.56,,,0.13,0.15,0.35,0.33,0.43,0.41,0.61,0.56,0.39,0.44,0.47,0.45,0.43,0.39,0.56,0.64,0.41,0.46,0.31,0.37,0.45,0.40,0.31,0.35,0.39,0.35,
38,Finland,FIN,EURNA,H,EU + EFTA + North America,High ,0.76,0.70,0.71,0.83,0.79,6,4,12,5,8,5,2,9,5,6,6,4,12,5,8,,0.36,0.78,0.73,0.63,0.75,0.64,0.45,0.10,0.56,0.12,0.05,0.09,0.11,0.07,0.85,0.07,0.04,0.04,0.71,0.32,0.26,0.24,0.08,0.10,0.48,0.52,0.52,,0.07,0.91,0.91,0.90,0.41,0.34,0.28,0.91,0.88,0.82,0.84,0.83,0.94,,,,0.34,0.37,0.75,0.82,0.71,0.75,0.59,0.68,0.70,0.81,0.59,0.69,0.50,0.39,0.10,0.09,0.45,0.68,0.17,0.08,0.07,0.04,0.10,0.08,0.15,0.06,0.07,0.08,0.82,0.87,0.06,0.08,0.06,0.03,0.05,0.02,0.62,0.81,0.26,0.38,0.26,0.27,0.24,0.23,0.07,0.09,0.17,0.04,0.41,0.56,0.59,0.44,0.39,0.67,,,0.09,0.05,0.91,0.90,0.90,0.92,0.90,0.89,0.38,0.44,0.34,0.34,0.30,0.27,0.92,0.90,0.87,0.88,0.81,0.84,0.84,0.84,0.84,0.82,0.93,0.96,,,,0.30,0.41,0.75,0.83,0.66,0.78,0.57,0.68,0.70,0.80,0.62,0.65,0.40,0.50,0.11,0.10,0.56,0.52,0.13,0.07,0.05,0.07,0.05,0.17,0.09,0.12,0.11,0.05,0.80,0.89,0.10,0.06,0.06,0.04,0.04,0.02,0.66,0.76,0.34,0.37,0.28,0.26,0.22,0.19,0.06,0.12,0.10,0.07,0.47,0.55,0.53,0.45,0.49,0.63,,,0.04,0.09,0.88,0.94,0.89,0.93,0.85,0.95,0.36,0.47,0.29,0.39,0.24,0.32,0.86,0.96,0.83,0.92,0.78,0.86,0.80,0.88,0.80,0.87,0.93,0.96,
39,France,FRA,EURNA,H,EU + EFTA + North America,High ,0.69,0.55,0.70,0.77,0.72,17,24,13,15,18,13,16,10,12,13,17,23,13,15,17,0.47,0.35,0.65,,0.54,,0.65,0.30,0.13,0.53,0.11,0.06,0.13,0.15,0.03,0.81,0.09,0.06,0.05,0.80,0.30,0.42,0.19,0.06,0.03,0.62,0.38,0.81,,0.07,0.81,0.86,0.89,0.40,0.39,0.35,0.91,0.82,0.68,0.80,0.67,0.92,,0.49,0.46,0.37,0.33,0.67,0.62,,,0.57,0.51,,,0.68,0.60,0.36,0.24,0.15,0.11,0.48,0.59,0.11,0.11,0.07,0.03,0.15,0.11,0.17,0.11,0.01,0.05,0.78,0.83,0.09,0.08,0.08,0.04,0.05,0.04,0.86,0.73,0.35,0.23,0.41,0.44,0.14,0.26,0.06,0.05,0.03,0.02,0.67,0.56,0.33,0.44,0.86,0.74,,,0.09,0.04,0.79,0.82,0.87,0.86,0.89,0.90,0.38,0.41,0.41,0.37,0.38,0.32,0.90,0.92,0.82,0.83,0.71,0.65,0.82,0.78,0.68,0.66,0.91,0.92,,0.47,0.49,0.34,0.39,0.63,0.68,,,0.53,0.56,,,0.64,0.67,0.27,0.36,0.12,0.15,0.53,0.50,0.10,0.11,0.06,0.06,0.09,0.19,0.17,0.13,0.04,0.02,0.79,0.82,0.09,0.08,0.07,0.06,0.05,0.04,0.75,0.93,0.19,0.46,0.46,0.36,0.25,0.13,0.05,0.05,0.05,0.00,0.47,0.82,0.53,0.18,0.72,0.94,,,0.04,0.13,0.77,0.85,0.84,0.89,0.88,0.92,0.42,0.38,0.38,0.42,0.34,0.40,0.89,0.94,0.79,0.87,0.63,0.76,0.76,0.85,0.63,0.76,0.91,0.93,
40,Georgia,GEO,ECA,LM,Eastern Europe & Central Asia,Lower middle ,0.61,0.51,0.70,0.66,0.57,29,36,16,34,48,1,4,1,1,3,1,4,1,4,6,0.39,0.32,0.78,0.82,0.80,0.71,0.79,0.21,0.08,0.62,0.12,0.01,0.01,0.14,0.09,0.96,0.02,0.01,0.00,0.94,0.59,0.33,0.01,0.03,0.04,0.86,0.14,0.89,,0.01,0.75,0.83,0.91,0.32,0.37,0.35,0.93,0.92,0.89,0.93,0.89,0.93,,0.39,0.40,0.33,0.30,0.80,0.76,0.83,0.81,0.81,0.79,0.74,0.69,0.80,0.77,0.24,0.18,0.08,0.08,0.62,0.63,0.13,0.11,0.00,0.03,0.03,0.00,0.15,0.13,0.08,0.11,0.97,0.96,0.02,0.02,0.01,0.01,0.00,0.01,0.97,0.89,0.63,0.54,0.34,0.31,0.00,0.03,0.00,0.06,0.03,0.06,0.92,0.80,0.08,0.20,0.97,0.81,,,0.00,0.03,0.74,0.75,0.84,0.83,0.93,0.89,0.35,0.30,0.37,0.37,0.35,0.34,0.94,0.91,0.93,0.91,0.90,0.88,0.94,0.92,0.89,0.88,0.94,0.92,,0.40,0.39,0.29,0.38,0.77,0.81,0.79,0.87,0.78,0.84,0.70,0.74,0.77,0.83,0.19,0.26,0.08,0.08,0.67,0.52,0.11,0.13,0.02,0.00,0.02,0.00,0.15,0.13,0.04,0.22,0.96,0.97,0.02,0.03,0.01,0.00,0.01,0.00,0.91,1.00,0.62,0.52,0.30,0.39,0.02,0.00,0.04,0.00,0.02,0.09,0.84,0.91,0.16,0.09,0.85,1.00,,,0.02,0.00,0.74,0.76,0.83,0.83,0.91,0.92,0.31,0.35,0.37,0.37,0.34,0.35,0.92,0.93,0.91,0.92,0.89,0.89,0.94,0.93,0.88,0.90,0.92,0.94,
41,Germany,DEU,EURNA,H,EU + EFTA + North America,High ,0.72,0.60,0.68,0.85,0.74,15,18,22,4,15,11,11,15,4,10,15,18,21,4,14,0.34,0.42,0.68,0.60,0.58,0.56,0.65,0.24,0.15,0.28,0.13,0.06,0.36,0.14,0.03,0.75,0.13,0.07,0.06,0.76,0.28,0.50,0.16,0.04,0.01,0.55,0.45,0.80,,0.04,0.87,0.90,0.94,0.40,0.38,0.31,0.96,0.89,0.84,0.86,0.86,0.91,,0.37,0.31,0.46,0.37,0.70,0.65,0.62,0.56,0.62,0.54,0.60,0.52,0.67,0.63,0.33,0.15,0.18,0.12,0.28,0.28,0.12,0.15,0.07,0.03,0.35,0.38,0.13,0.15,0.04,0.02,0.73,0.76,0.13,0.12,0.06,0.07,0.07,0.05,0.79,0.71,0.28,0.29,0.54,0.44,0.14,0.20,0.03,0.07,0.01,0.00,0.57,0.50,0.43,0.50,0.78,0.83,,,0.06,0.00,0.88,0.87,0.90,0.90,0.93,0.95,0.42,0.37,0.42,0.33,0.36,0.25,0.96,0.96,0.89,0.88,0.87,0.81,0.89,0.83,0.87,0.84,0.91,0.90,,0.34,0.37,0.41,0.45,0.65,0.73,0.54,0.65,0.54,0.62,0.54,0.60,0.61,0.70,0.19,0.32,0.14,0.16,0.33,0.17,0.11,0.15,0.05,0.08,0.37,0.38,0.11,0.19,0.04,0.04,0.75,0.75,0.13,0.14,0.06,0.07,0.06,0.05,0.73,0.83,0.30,0.15,0.51,0.62,0.11,0.23,0.06,0.00,0.02,0.00,0.48,0.59,0.52,0.41,0.74,0.83,,,0.08,0.00,0.86,0.90,0.90,0.91,0.95,0.94,0.39,0.44,0.38,0.41,0.29,0.35,0.96,0.95,0.87,0.90,0.84,0.86,0.86,0.88,0.84,0.87,0.91,0.89,
